name
Breaks 
Chill Out
Deep House 
Drum & Bass
Dubstep 
Electro House
Electronica 
Funk / R&B
Glitch Hop 
Hard Dance 
Hardcore / Hard Techno
Hip-Hop 
House 
Indie Dance / Nu Disco 
Minimal Pop / Rock 
Progressive House
Psy-Trance 
Reggae / Dub 
Tech House 
Techno
Trance
